group_id,group_name,titul,url,velikost_b
3,"Vědecká rada Ministerstva zdravotnictví","archiv-zapisy-vedecka-rada-2023","https://ppo.mzcr.cz/upload/files/zapisy-z-jednani-archiv-zapisy-vedecka-rada-2023-69d3a4d2cf0be.zip",476330
3,"Vědecká rada Ministerstva zdravotnictví","archiv-zapisy-vedecka-rada-2024","https://ppo.mzcr.cz/upload/files/zapisy-z-jednani-archiv-zapisy-vedecka-rada-2024-69d3a4db99ce6.zip",265563
3,"Vědecká rada Ministerstva zdravotnictví","archiv-zapisy-vedecka-rada-2025","https://ppo.mzcr.cz/upload/files/zapisy-z-jednani-archiv-zapisy-vedecka-rada-2025-69d3a4e43ad1a.zip",684896
3,"Vědecká rada Ministerstva zdravotnictví","zapis-vedecka-rada-12-3-2026","https://ppo.mzcr.cz/upload/files/zapisy-z-jednani-zapis-vedecka-rada-12-3-2026-69d3a4f756782.pdf",214379
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Textová část_Kapitola 1","https://ppo.mzcr.cz/upload/files/obecna-cast-vyhlasky-seznamu-zdravotnich-vykonu-s-bodovymi-hodnotami-a-s-pravidly-pro-jejich-vykazovani-v-platnem-zneni-od-roku-2026-textova-cast-kapitola-1-691c14343f0c6.doc",51200
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Textová část_Kapitola 2","https://ppo.mzcr.cz/upload/files/obecna-cast-vyhlasky-seznamu-zdravotnich-vykonu-s-bodovymi-hodnotami-a-s-pravidly-pro-jejich-vykazovani-v-platnem-zneni-od-roku-2026-textova-cast-kapitola-2-691c1434409d7.doc",420864
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Textová část_Kapitola 3","https://ppo.mzcr.cz/upload/files/obecna-cast-vyhlasky-seznamu-zdravotnich-vykonu-s-bodovymi-hodnotami-a-s-pravidly-pro-jejich-vykazovani-v-platnem-zneni-od-roku-2026-textova-cast-kapitola-3-691c143442639.doc",54784
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Textová část_Kapitola 4","https://ppo.mzcr.cz/upload/files/obecna-cast-vyhlasky-seznamu-zdravotnich-vykonu-s-bodovymi-hodnotami-a-s-pravidly-pro-jejich-vykazovani-v-platnem-zneni-od-roku-2026-textova-cast-kapitola-4-691c143442fd9.doc",638976
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Textová část_Kapitola 5","https://ppo.mzcr.cz/upload/files/obecna-cast-vyhlasky-seznamu-zdravotnich-vykonu-s-bodovymi-hodnotami-a-s-pravidly-pro-jejich-vykazovani-v-platnem-zneni-od-roku-2026-textova-cast-kapitola-5-691c14344526c.doc",205824
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Textová část_Kapitola 6","https://ppo.mzcr.cz/upload/files/obecna-cast-vyhlasky-seznamu-zdravotnich-vykonu-s-bodovymi-hodnotami-a-s-pravidly-pro-jejich-vykazovani-v-platnem-zneni-od-roku-2026-textova-cast-kapitola-6-691c143446210.doc",45056
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Textová část_Kapitola 7","https://ppo.mzcr.cz/upload/files/obecna-cast-vyhlasky-seznamu-zdravotnich-vykonu-s-bodovymi-hodnotami-a-s-pravidly-pro-jejich-vykazovani-v-platnem-zneni-od-roku-2026-textova-cast-kapitola-7-691c143446aed.doc",47104
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Textová část_Kapitola 8","https://ppo.mzcr.cz/upload/files/obecna-cast-vyhlasky-seznamu-zdravotnich-vykonu-s-bodovymi-hodnotami-a-s-pravidly-pro-jejich-vykazovani-v-platnem-zneni-od-roku-2026-textova-cast-kapitola-8-691c144927d5f.doc",75264
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Seznam předkladatelů - PS k SZV za rok 2021","https://ppo.mzcr.cz/upload/files/seznam-predkladatelu-seznam-predkladatelu-ps-k-szv-za-rok-2021-694150c8a5932.zip",93553
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Seznam předkladatelů - PS k SZV za rok 2022","https://ppo.mzcr.cz/upload/files/seznam-predkladatelu-seznam-predkladatelu-ps-k-szv-za-rok-2022-694150c8a971f.zip",109458
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Seznam předkladatelů - PS k SZV za rok 2023","https://ppo.mzcr.cz/upload/files/seznam-predkladatelu-seznam-predkladatelu-ps-k-szv-za-rok-2023-694150c8aad3c.zip",418796
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Seznam předkladatelů - PS k SZV za rok 2024","https://ppo.mzcr.cz/upload/files/seznam-predkladatelu-seznam-predkladatelu-ps-k-szv-za-rok-2024-694150c8ae188.zip",144259
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Seznam předkladatelů - PS k SZV březen 2025","https://ppo.mzcr.cz/upload/files/seznam-predkladatelu-seznam-predkladatelu-ps-k-szv-brezen-2025-694150c8af568.pdf",98524
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Seznam předkladatelů - PS k SZV červen 2025","https://ppo.mzcr.cz/upload/files/seznam-predkladatelu-seznam-predkladatelu-ps-k-szv-cerven-2025-694150c8b04e4.pdf",237986
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Seznam předkladatelů - PS k SZV září 2025","https://ppo.mzcr.cz/upload/files/seznam-predkladatelu-seznam-predkladatelu-ps-k-szv-zari-2025-694150c8b1aad.docx",42484
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Seznam předkladatelů - PS k SZV prosinec 2025","https://ppo.mzcr.cz/upload/files/seznam-predkladatelu-seznam-predkladatelu-ps-k-szv-prosinec-2025-694150c8b2841.pdf",264784
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Seznam předkladatelů - PS k SZV březen 2026","https://ppo.mzcr.cz/upload/files/seznam-predkladatelu-seznam-predkladatelu-ps-k-szv-brezen-2026-694150eed61dd.pdf",269643
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Seznam předkladatelů - PS k SZV červen 2026","https://ppo.mzcr.cz/upload/files/seznam-predkladatelu-seznam-predkladatelu-ps-k-szv-cerven-2026-69c286d237839.pdf",267241
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Seznam předkladatelů - PS k SZV září 2026","https://ppo.mzcr.cz/upload/files/seznam-predkladatelu-seznam-predkladatelu-ps-k-szv-zari-2026-6a3a90865ea8d.pdf",
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy RL Září 2021-1.část","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-zari-2021-1-cast-683e8fae3d778.zip",14579801
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy RL Září 2021-2.část","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-zari-2021-2-cast-683e8fbcce8a6.zip",9947605
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy RL Září 2021-3.část","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-zari-2021-3-cast-683e8fef88494.zip",1883156
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy RL Červen 2020-1.část","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-cerven-2020-1-cast-683e903391ee0.zip",26916838
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy RL_Leden, Únor, Březen 2020_2.část","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-leden-unor-brezen-2020-2-cast-67da593b50df2.zip",7102542
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy RL-Červen, Červenec, Srpen 2020-1.část","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-cerven-cervenec-srpen-2020-1-cast-67da593b546bc.zip",30925186
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy RL-Červen, Červenec, Srpen 2020-2.část","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-cerven-cervenec-srpen-2020-2-cast-67da593b57803.zip",1097243
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy PS k SZV-Leden Únor, Březen 2021","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-ps-k-szv-leden-unor-brezen-2021-67da593b5aaeb.zip",11443805
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Navrhy-RL_PS-k-SZV_Brezen-2022_1.cast_","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-ps-k-szv-brezen-2022-1-cast-67da593b5dd97.zip",7489740
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Navrhy-RL_PS-k-SZV_Brezen-2022_2.cast_","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-ps-k-szv-brezen-2022-2-cast-67da593b6173b.zip",34201451
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Navrhy-RL_PS-k-SZV_Cerven-2022","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-ps-k-szv-cerven-2022-67da593b64b2c.zip",16998225
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Navrhy-RL_PS-k-SZV_Cerven-2022_druha-cast","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-ps-k-szv-cerven-2022-druha-cast-67da593b67e42.zip",1772241
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Navrhy-RL_PS-k-SZV_Září-2022","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-ps-k-szv-zari-2022-67da593b6b170.zip",20231367
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy RL PS k SZV_Prosinec 2022","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-ps-k-szv-prosinec-2022-67da593b6e59c.zip",14487511
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy RL PS k SZV_Prosinec 2022_Příloha_Herniologická společnost","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-ps-k-szv-prosinec-2022-priloha-herniologicka-spolecnost-67da593b719fe.zip",10852817
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy PS k SZV Březen 2023_1.část","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-ps-k-szv-brezen-2023-1-cast-67da593b780e8.zip",38762071
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy PS k SZV Březen 2023_2.část","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-ps-k-szv-brezen-2023-2-cast-67da593b7b685.zip",38123204
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy PS k SZV Březen 2023_3.část","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-ps-k-szv-brezen-2023-3-cast-67da593b7ebbb.zip",35147469
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy PS k SZV Březen 2023","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-ps-k-szv-brezen-2023-67da593b81ebb.pdf",321901
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy PS k SZV Červen 2023","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-ps-k-szv-cerven-2023-67da593b83483.zip",21907005
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy PS k SZV Červen 2023_doplnění","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-ps-k-szv-cerven-2023-doplneni-67da593b868f4.zip",1154290
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy PS k SZV Září 2023","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-ps-k-szv-zari-2023-67da593b89aed.zip",29207678
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","Návrhy RL PS k SZV_Prosinec 2023","https://ppo.mzcr.cz/upload/files/predkladane-navrhy-na-jednani-navrhy-rl-ps-k-szv-prosinec-2023-67da593b90266.zip",14162722
