person_id,person_name,pocet_clenstvi,role,afiliace,skupiny
1682,"Mgr. Edita Müllerová",1,"Členové","Pacientská rada ministra zdravotnictví","Výbor pro umělou inteligenci ve zdravotnictví (Členové)"
1696,"MUDr. Lubomír Nečas",1,"Členové","Asociace krajů","Mezirezortní pracovní skupina k problematice komplexní ochrany před škodami působenými tabákem (MPS KOTA) (Členové)"
1699,"Mgr. et Mgr. Pavel Nedbal",1,"Členové","","Pracovní skupina pro lékařské ozáření (Členové)"
1702,"JUDr. Kamil Nedvědický",1,"Členové","","Mezirezortní pracovní skupina pro snížení škod působených alkoholem - MPS SPA (Členové)"
1741,"MUDr. Petr Nevšímal",1,"Členové","","Pracovní skupina pro návykové nemoci při Ministerstvu zdravotnictví  (PSPNN) (Členové)"
1746,"prim. MUDr. Martin Nováček",1,"Členové","AČMN","Pracovní skupina pro restrukturalizaci intenzivní zdravotní péče (Členové)"
1757,"Mgr. Jana Nováková, MBA",1,"Členové","","Pracovní skupina pro dobrovolnictví ve zdravotnictví (Členové)"
1789,"MUDr. Otakar Nyč, Ph.D.",1,"Členové","","Centrální koordinační skupina Národního antibiotického programu (Členové)"
1803,"MUDr. Jindřich Olšovský, Ph.D.",1,"Členové","","Pracovní skupina pro obezitu a diabetes v rámci Národního programu prevence a léčby obezity České republiky (Členové)"
1832,"prof. MUDr. Pavel Pafko, DrSc.",1,"Členové","III. chirurgická klinika 1.LF UK a FN Motol, Praha","Etická komise Ministerstva zdravotnictví (Členové)"
1851,"Mgr. Petr Papírník",1,"Členové","","Pracovní skupina pro lékařské ozáření (Členové)"
1854,"doc. MUDr. Jiří Páral, Ph.D., MBA",1,"Členové","Česká chirurgická společnost ČLS JEP","Komise pro posuzování rozmístění přístrojových zdravotnických prostředků a kapacit hrazených z veřejného zdravotního pojištění (Členové)"
1865,"MUDr. Marek Páv, Ph.D., MBA",1,"Členové","","Pracovní skupina k problematice péče o pacienty s nařízeným ochranným léčením (Členové)"
1870,"Jindřiška Pavlicová",1,"Členové","zdravotní sestra, Česká asociace sester Praha","Etická komise Ministerstva zdravotnictví (Členové)"
1878,"MUDr. Vilma Pavlíková",1,"Členové","Svaz zdravotních pojišťoven ČR","Komise pro program screeningu karcinomu děložního hrdla (Členové)"
1881,"JUDr. Marek Pavlovský, Ph.D.",1,"Členové","","Rozkladová komise ministra zdravotnictví (Členové)"
1890,"PharmDr. Zdeněk Pečinka",1,"Členové","","Lékopisná komise Ministerstva zdravotnictví (Členové)"
1894,"Mgr. Jaroslav Pekara, Ph.D.",1,"Členové","","Meziresortní pracovní skupiny k výkonu rozsudku V proti ČR (Členové)"
1907,"MUDr. Lenka Pešáková, Ph.D.",1,"Předseda","","Poradní sbor hygieny práce a pracovního lékařství náměstkyně pro ochranu a podporu veřejného zdraví MZ ČR a hlavní hygieničky České republiky (Předseda)"
1923,"prof. MUDr. Luboš Petruželka, CSc.",1,"Členové","Česká onkologická společnost ČLS JEP","Komise pro program časného záchytu karcinomu plic (Členové)"
1943,"RNDr. Michal Pitoňák, Ph.D.",1,"Členové","","Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS (Členové)"
1953,"MUDr. František Plhoň",1,"Členové","","Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami (Členové)"
1954,"doc. MUDr. Stanislav Plíšek, Ph.D.",1,"Členové","","Pracovní skupina k problematice vzdělávání lékařských zdravotnických pracovníků (Členové)"
1961,"Mgr. Zbyněk Podhrázký",1,"Členové","","Resortní koordinační skupina Ministerstva zdravotnictví ČR pro Evropskou unii (Členové)"
1963,"Mgr. Kateřina Podrazilová, Ph.D.",1,"Členové","","Pracovní skupina pro návykové nemoci při Ministerstvu zdravotnictví  (PSPNN) (Členové)"
1974,"MUDr. Petr Pokorný",1,"Předseda","","Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami (Předseda)"
1991,"prim. MUDr. Zdenka Polzerová, MBA",1,"Členové","Asociace nemocnic ČR","Pracovní skupina pro koncepční řešení rozvoje geriatrické péče v České republice (Členové)"
2011,"Mgr. Martina Postupová",1,"Členové","","Rozkladová komise ministra zdravotnictví (Členové)"
2012,"JUDr. Lukáš Potěšil, Ph.D.",1,"Členové","","Rozkladová komise ministra zdravotnictví (Členové)"
