group_id,group_name,section_unit,role,person_id,person_name,affiliation
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Členové",1493,"RNDr. Marek Malý, CSc.",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Členové",1720,"RNDr. Vratislav Němeček, CSc.",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Členové",1885,"prof. MUDr. Petr Pazdiora, CSc.",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Členové",1943,"RNDr. Michal Pitoňák, Ph.D.",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Členové",2110,"prof. MUDr. Vladimír Resl, CSc.",""
16,"Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS","HH/OVZ","Členové",2213,"doc. MUDr. Dalibor Sedláček, CSc.",""
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Předseda",3118,"Mgr. Simona Zábranská","Klub nemocných cystickou fibrózou, z. s. (https://klubcf.cz/)"
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Místopředseda",2097,"Ing. Jitka Reineltová","Parent projekt z.s (https://www.parentproject.cz/)"
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Místopředseda",3929,"Mgr. Šárka Slavíková","Hlas onkologických pacientů, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",28,"Bc. Anna Arellanesová","Česká asociace pro vzácná onemocnění, z. s. (https://vzacna-onemocneni.cz/)"
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4248,"Mgr. Kateřina Azim Aburas","AIPO, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4259,"MUDr. Anežka Dašková","SMÁci, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",507,"Zdeňka Faltýnková","Česká asociace paraplegiků - CZEPA, z. s. (https://czepa.cz/)"
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4253,"Bc. Lucie Halbrštátová","DIALOGOS, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4261,"Roman Herink","Unie pečujících, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4262,"PhDr. Adéla Holubová","ZAHOJÍME, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4260,"PhDr. Tereza Hradilová","Svaz neslyšících a nedoslýchavých osob v ČR, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4257,"Ing. Petr Ilčík","Popálky, z. ú."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",1248,"Mgr. Václav Krása","Národní rada osob se zdravotním postižením České republiky z.s (https://nrzp.cz/)"
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",3927,"Ing. Jiřina Landová","Unie ROSKA z.s (https://www.roska.eu/)"
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4256,"Mgr. Lucie Laštíková","Pacienti IBD, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",1628,"Mgr. Vlastimil Milata","DIAKTIV CZECH REPUBLIC z.s (https://www.diaktiv.cz/)"
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4255,"Ing. Jana Nováčková","Ondřej, sdružení na pomoc duševně nemocným, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4251,"Jiří Pavlát, MBA","Česká společnost AIDS pomoc, z. s."
